Date, Cumulative kWh, Delta +kWh
2018-12-31 23:00, 100.07, 100.07
2019-12-31 23:00, 215.69, 115.62
2020-12-31 23:00, 300.48, 84.79
2021-12-31 23:00, 449.10, 148.62
2022-12-31 23:00, 618.99, 169.89
